gid,funcs
1153,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1154,"['GO:0008152', 'GO:0009987']"
1161,"['GO:0008152', 'GO:0009987']"
1166,['GO:0051179']
1170,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
1176,['GO:0051179']
1182,"['GO:0008152', 'GO:0009987']"
1189,"['GO:0050896', 'GO:0044419', 'GO:0002376', 'GO:0009987']"
1190,['GO:0008152']
1191,['GO:0051179']
1198,"['GO:0008152', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1204,"['GO:0008152', 'GO:0009987']"
1206,['GO:0051179']
1212,"['GO:0008152', 'GO:0009987']"
1221,"['GO:0008152', 'GO:0032501', 'GO:0032502', 'GO:0065007']"
1227,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1229,"['GO:0008152', 'GO:0009987']"
1232,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1237,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1240,"['GO:0051179', 'GO:0009987']"
1247,"['GO:0008152', 'GO:0009987']"
1251,"['GO:0008152', 'GO:0009987']"
1261,"['GO:0032501', 'GO:0022414', 'GO:0032502', 'GO:0000003']"
1262,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1272,"['GO:0008152', 'GO:0009987']"
1275,"['GO:0008152', 'GO:0009987']"
1279,"['GO:0008152', 'GO:0009987']"
1280,['GO:0009987']
1285,"['GO:0051179', 'GO:0009987']"
1290,"['GO:0008152', 'GO:0009987']"
1291,"['GO:0008152', 'GO:0009987']"
1298,"['GO:0008152', 'GO:0009987']"
1299,"['GO:0008152', 'GO:0009987']"
1303,['GO:0065007']
1308,['GO:0065007']
1309,['GO:0051179']
1313,"['GO:0051179', 'GO:0009987']"
1317,"['GO:0008152', 'GO:0009987']"
1325,"['GO:0008152', 'GO:0009987']"
1329,"['GO:0051179', 'GO:0009987']"
1331,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1339,"['GO:0008152', 'GO:0009987']"
1342,['GO:0051179']
1346,['GO:0009987']
1348,"['GO:0008152', 'GO:0009987']"
1349,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
1351,"['GO:0008152', 'GO:0009987']"
1352,"['GO:0009987', 'GO:0065007']"
1354,"['GO:0008152', 'GO:0009987']"
1355,['GO:0065007']
1357,"['GO:0008152', 'GO:0009987']"
1363,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1367,"['GO:0008152', 'GO:0009987']"
1368,"['GO:0051179', 'GO:0009987']"
1370,"['GO:0008152', 'GO:0009987']"
1375,"['GO:0008152', 'GO:0009987']"
1391,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1393,"['GO:0008152', 'GO:0009987']"
1395,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1396,['GO:0008152']
1400,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1408,"['GO:0008152', 'GO:0009987']"
1417,['GO:0065007']
1422,"['GO:0051179', 'GO:0009987']"
1424,"['GO:0008152', 'GO:0009987']"
1434,['GO:0065007']
1439,['GO:0009987']
1442,['GO:0051179']
1443,"['GO:0008152', 'GO:0009987']"
1445,"['GO:0008152', 'GO:0009987']"
1446,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1455,"['GO:0008152', 'GO:0065007']"
1457,"['GO:0065007', 'GO:0009987']"
1460,['GO:0009987']
1461,['GO:0065007']
1463,"['GO:0008152', 'GO:0009987']"
1476,"['GO:0051179', 'GO:0009987']"
1486,"['GO:0008152', 'GO:0098754', 'GO:0050896', 'GO:0009987']"
1490,['GO:0065007']
1497,['GO:0065007']
1511,"['GO:0008152', 'GO:0009987']"
1512,"['GO:0008152', 'GO:0009987']"
1516,"['GO:0008152', 'GO:0009987']"
1517,"['GO:0051179', 'GO:0009987']"
1526,"['GO:0008152', 'GO:0009987']"
1533,"['GO:0008152', 'GO:0009987']"
1538,['GO:0009987']
1543,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1544,['GO:0065007']
1549,"['GO:0008152', 'GO:0009987']"
1550,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1551,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1552,"['GO:0008152', 'GO:0009987']"
1553,"['GO:0008152', 'GO:0009987']"
1556,"['GO:0008152', 'GO:0009987']"
1561,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
1562,['GO:0065007']
1567,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1572,['GO:0009987']
1583,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
1584,"['GO:0008152', 'GO:0009987']"
1586,['GO:0065007']
1593,"['GO:0008152', 'GO:0009987']"
1597,"['GO:0008152', 'GO:0009987']"
1603,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1606,['GO:0009987']
1608,['GO:0009987']
1609,"['GO:0051179', 'GO:0009987']"
1611,"['GO:0008152', 'GO:0009987']"
1616,['GO:0009987']
1618,"['GO:0008152', 'GO:0009987']"
1622,"['GO:0008152', 'GO:0009987']"
1625,"['GO:0008152', 'GO:0009987']"
1627,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1635,"['GO:0008152', 'GO:0009987']"
1648,"['GO:0008152', 'GO:0009987']"
1653,['GO:0050896']
1670,['GO:0065007']
1671,"['GO:0008152', 'GO:0009987']"
1673,"['GO:0032501', 'GO:0032502']"
1677,"['GO:0008152', 'GO:0009987']"
1684,['GO:0050896']
1689,['GO:0050896']
1691,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
1699,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
1711,"['GO:0051179', 'GO:0009987']"
1715,"['GO:0050896', 'GO:0009987']"
1722,"['GO:0008152', 'GO:0009987']"
1724,['GO:0009987']
1726,"['GO:0008152', 'GO:0009987']"
1728,"['GO:0050896', 'GO:0009987']"
1730,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1736,['GO:0065007']
1739,['GO:0051179']
1740,"['GO:0008152', 'GO:0009987']"
1744,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
1749,"['GO:0008152', 'GO:0009987']"
1753,"['GO:0008152', 'GO:0009987']"
1754,"['GO:0008152', 'GO:0065007']"
1768,"['GO:0008152', 'GO:0009987']"
1786,['GO:0065007']
1793,"['GO:0008152', 'GO:0009987']"
1800,"['GO:0008152', 'GO:0009987']"
1805,"['GO:0008152', 'GO:0009987']"
1816,['GO:0009987']
1820,['GO:0009987']
1826,['GO:0009987']
1827,"['GO:0008152', 'GO:0009987']"
1831,"['GO:0008152', 'GO:0009987']"
1834,['GO:0008152']
1839,"['GO:0008152', 'GO:0009987']"
1841,"['GO:0008152', 'GO:0009987']"
1842,['GO:0065007']
1853,['GO:0065007']
1856,"['GO:0050896', 'GO:0065007', 'GO:0009987']"
1858,"['GO:0008152', 'GO:0009987']"
1865,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
1866,"['GO:0008152', 'GO:0009987']"
1869,"['GO:0050896', 'GO:0009987', 'GO:0065007']"
1871,['GO:0009987']
1876,['GO:0050896']
1879,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1880,['GO:0051179']
1884,"['GO:0008152', 'GO:0009987']"
1885,"['GO:0008152', 'GO:0009987']"
1891,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
